target,positive_count,prevalence,prior_loss,logistic_loss,improvement,winner
dopamine_receptor_agonist,121,0.005081044763584446,0.03150868443464175,0.034120474807855475,-0.0026117903732137265,prior
parp_inhibitor,61,0.0025615184345343074,0.017643061318808297,0.02028774759465367,-0.002644686275845371,prior
cytochrome_p450_inhibitor,104,0.004367178970353574,0.02774479122652833,0.030421949776244604,-0.002677158549716275,prior
tyrosine_kinase_inhibitor,73,0.0030654237003443353,0.020562513512426973,0.023251855663986343,-0.00268934215155937,prior
adenosine_receptor_antagonist,96,0.004031242126480222,0.02593407577693694,0.028662301523900747,-0.0027282257469638076,prior
insulin_sensitizer,51,0.002141597379692618,0.01513497950047243,0.017871081997712694,-0.0027361024972402635,prior
bcr-abl_inhibitor,38,0.001595700008398421,0.011748117158112838,0.014559334951417294,-0.0028112177933044564,prior
anti-inflammatory,73,0.0030654237003443353,0.020562480856373654,0.023395126900377854,-0.0028326460440042008,prior
potassium_channel_antagonist,98,0.00411522633744856,0.026389538124950866,0.0293216147815383,-0.0029320766565874325,prior
bacterial_dna_gyrase_inhibitor,89,0.003737297388091039,0.024326626271410325,0.027301289479498496,-0.0029746632080881706,prior
androgen_receptor_antagonist,89,0.003737297388091039,0.024326652312338486,0.02730662034226916,-0.0029799680299306755,prior
corticosteroid_agonist,36,0.0015117157974300832,0.011211249390130507,0.014226529545566425,-0.003015280155435918,prior
hiv_inhibitor,72,0.0030234315948601664,0.02032264806477014,0.02336085454665345,-0.003038206481883309,prior
monoamine_oxidase_inhibitor,85,0.003569328966154363,0.023397284892413703,0.026473420623798167,-0.003076135731384464,prior
alk_inhibitor,42,0.001763668430335097,0.012807778200878075,0.015896943651327333,-0.0030891654504492574,prior
membrane_integrity_inhibitor,74,0.0031074158058285043,0.020801468882333418,0.023965817585481015,-0.0031643487031475966,prior
lipoxygenase_inhibitor,61,0.0025615184345343074,0.0176430303813276,0.02088441262220553,-0.003241382240877933,prior
antibiotic,43,0.001805660535819266,0.01307011225633917,0.01638343169660755,-0.0033133194402683794,prior
apoptosis_stimulant,49,0.00205761316872428,0.014623892928602202,0.01800734352786734,-0.003383450599265137,prior
cc_chemokine_receptor_antagonist,102,0.004283194759385236,0.02729488824779552,0.03070322827408387,-0.0034083400262883493,prior
anesthetic_-_local,80,0.003359368438733518,0.022225015703736195,0.025646635563530317,-0.003421619859794122,prior
antioxidant,73,0.0030654237003443353,0.02056253613096296,0.023984718267413437,-0.0034221821364504787,prior
hcv_inhibitor,72,0.0030234315948601664,0.02032256184095071,0.02377799714823833,-0.0034554353072876187,prior
benzodiazepine_receptor_agonist,67,0.0028134710674393216,0.01911423188610258,0.022570550887327765,-0.003456319001225186,prior
prostanoid_receptor_antagonist,84,0.003527336860670194,0.023164456570690006,0.02677144807510671,-0.003606991504416703,prior
tachykinin_antagonist,60,0.0025195263290501385,0.01739472764193907,0.02100699542845442,-0.0036122677865153482,prior
acetylcholinesterase_inhibitor,73,0.0030654237003443353,0.02056244990260364,0.024211241189803636,-0.003648791287199995,prior
leukotriene_receptor_antagonist,62,0.0026035105400184764,0.017890264152426446,0.021539455228688803,-0.003649191076262357,prior
bcl_inhibitor,31,0.0013017552700092382,0.00984925320019057,0.01354006213307056,-0.0036908089328799906,prior
igf-1_inhibitor,37,0.0015537079029142521,0.011480584999786488,0.015175642550402844,-0.003695057550616356,prior
opioid_receptor_agonist,61,0.0025615184345343074,0.0176430303813276,0.021414100687094144,-0.0037710703057665454,prior
glutamate_receptor_agonist,74,0.0031074158058285043,0.020801468882333418,0.02457611999636127,-0.0037746511140278535,prior
estrogen_receptor_antagonist,48,0.002015621063240111,0.014367619231913428,0.018152466222960097,-0.0037848469910466698,prior
rho_associated_kinase_inhibitor,35,0.0014697236919459142,0.01093993348273636,0.014736379844222226,-0.0037964463614858657,prior
cannabinoid_receptor_antagonist,55,0.0023095658016292937,0.01614638741531612,0.019949029744968236,-0.0038026423296521165,prior
histone_lysine_methyltransferase_inhibitor,32,0.0013437473754934072,0.010125009681734283,0.014079414470944088,-0.003954404789209805,prior
